REGION_CHR	REGION_START	REGION_STOP	REGION_NUMBER	REGION_LENGTH	CID	GENES
7	83579996	105006542	131	21.426546	C100008921	ADAM22_Q9P0K1_OID21001_v1_Neurology
7	83579996	105006542	131	21.426546	C100008921	SAMD9L_Q8IVG5_OID20536_v1_Inflammation
7	83579996	105006542	131	21.426546	C100008921	HEPACAM2_A8MVW5_OID31151_v1_Neurology_II
7	83579996	105006542	131	21.426546	C100008921	PON2_Q15165_OID20088_v1_Cardiometabolic
7	83579996	105006542	131	21.426546	C100008921	PON1_P27169_OID30704_v1_Inflammation_II
7	83579996	105006542	131	21.426546	C100008921	TFPI2_P48307_OID21512_v1_Oncology
7	83579996	105006542	131	21.426546	C100008921	PON3_Q15166_OID20777_v1_Inflammation
7	83579996	105006542	131	21.426546	C100008921	PILRA_Q9UKJ1_OID21129_v1_Neurology
7	83579996	105006542	131	21.426546	C100008921	NPTX2_P47972_OID30390_v1_Cardiometabolic_II
7	83579996	105006542	131	21.426546	C100008921	PILRB_Q9UKJ0_OID20197_v1_Cardiometabolic
7	83579996	105006542	131	21.426546	C100008921	ACHE_P22303_OID30585_v1_Inflammation_II
7	83579996	105006542	131	21.426546	C100008921	CNPY4_Q8N129_OID21317_v1_Oncology
7	83579996	105006542	131	21.426546	C100008921	PCOLCE_Q15113_OID20384_v1_Cardiometabolic
7	83579996	105006542	131	21.426546	C100008921	SERPINE1_P05121_OID20342_v1_Cardiometabolic
7	83579996	105006542	131	21.426546	C100008921	EPHB4_P54760_OID20242_v1_Cardiometabolic
7	83579996	105006542	131	21.426546	C100008921	FIS1_Q9Y3D6_OID20722_v1_Inflammation
7	83579996	105006542	131	21.426546	C100008921	EPO_P01588_OID20522_v1_Inflammation
7	83579996	105006542	131	21.426546	C100008921	LRCH4_O75427_OID30191_v1_Cardiometabolic_II
7	83579996	105006542	131	21.426546	C100008921	VGF_O15240_OID31067_v1_Neurology_II
