REGION_CHR	REGION_START	REGION_STOP	REGION_NUMBER	REGION_LENGTH	CID	GENES
1	163994208	209054739	13	45.060531	C1162	TNN_Q9UQP3_OID30412_v1_Cardiometabolic_II
1	163994208	209054739	13	45.060531	C1162	GPA33_Q99795_OID21376_v1_Oncology
1	163994208	209054739	13	45.060531	C1162	CREG1_O75629_OID21515_v1_Oncology
1	163994208	209054739	13	45.060531	C1162	XCL1_P47992_OID21398_v1_Oncology
1	163994208	209054739	13	45.060531	C1162	DPT_Q07507_OID20278_v1_Cardiometabolic
1	163994208	209054739	13	45.060531	C1162	SELL_P14151_OID30752_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	SELP_P16109_OID20379_v1_Cardiometabolic
1	163994208	209054739	13	45.060531	C1162	SELE_P16581_OID20290_v1_Cardiometabolic
1	163994208	209054739	13	45.060531	C1162	MYOC_Q99972_OID21121_v1_Neurology
1	163994208	209054739	13	45.060531	C1162	FASLG_P48023_OID20665_v1_Inflammation
1	163994208	209054739	13	45.060531	C1162	SERPINC1_P01008_OID30789_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	PRDX6_P30041_OID21404_v1_Oncology
1	163994208	209054739	13	45.060531	C1162	CACYBP_Q9HB71_OID30649_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	RABGAP1L_Q5R372_OID20447_v1_Inflammation
1	163994208	209054739	13	45.060531	C1162	TNR_Q92752_OID20957_v1_Neurology
1	163994208	209054739	13	45.060531	C1162	ANGPTL1_O95841_OID20211_v1_Cardiometabolic
1	163994208	209054739	13	45.060531	C1162	TOR1AIP1_Q5JTV8_OID30195_v1_Cardiometabolic_II
1	163994208	209054739	13	45.060531	C1162	QSOX1_O00391_OID30729_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	NPL_Q9BXD5_OID30329_v1_Cardiometabolic_II
1	163994208	209054739	13	45.060531	C1162	NCF2_P19878_OID20567_v1_Inflammation
1	163994208	209054739	13	45.060531	C1162	TPR_P12270_OID30143_v1_Cardiometabolic_II
1	163994208	209054739	13	45.060531	C1162	PLA2G4A_P47712_OID20685_v1_Inflammation
1	163994208	209054739	13	45.060531	C1162	CFHR2_P36980_OID30720_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	CFHR4_Q92496_OID30758_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	F13B_P05160_OID30781_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	CFHR5_Q9BXR6_OID30716_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	CFH_P08603_OID30790_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	PTPRC_P08575_OID30380_v1_Cardiometabolic_II
1	163994208	209054739	13	45.060531	C1162	CHIT1_Q13231_OID20312_v1_Cardiometabolic
1	163994208	209054739	13	45.060531	C1162	LMOD1_P29536_OID30212_v1_Cardiometabolic_II
1	163994208	209054739	13	45.060531	C1162	LMOD1_P29536_OID30547_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	LMOD1_P29536_OID31014_v1_Neurology_II
1	163994208	209054739	13	45.060531	C1162	LMOD1_P29536_OID31416_v1_Oncology_II
1	163994208	209054739	13	45.060531	C1162	CHI3L1_P36222_OID20399_v1_Cardiometabolic
1	163994208	209054739	13	45.060531	C1162	PRELP_P51888_OID20766_v1_Inflammation
1	163994208	209054739	13	45.060531	C1162	OPTC_Q9UBM4_OID21362_v1_Oncology
1	163994208	209054739	13	45.060531	C1162	CNTN2_Q02246_OID21426_v1_Oncology
1	163994208	209054739	13	45.060531	C1162	NFASC_O94856_OID20634_v1_Inflammation
1	163994208	209054739	13	45.060531	C1162	REN_P00797_OID20201_v1_Cardiometabolic
1	163994208	209054739	13	45.060531	C1162	PM20D1_Q6GTS8_OID20149_v1_Cardiometabolic
1	163994208	209054739	13	45.060531	C1162	CTSE_P14091_OID30628_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	CR1_P17927_OID30697_v1_Inflammation_II
1	163994208	209054739	13	45.060531	C1162	FCAMR_Q8WWV6_OID30332_v1_Cardiometabolic_II
1	163994208	209054739	13	45.060531	C1162	MAPKAPK2_P49137_OID31293_v1_Oncology_II
1	163994208	209054739	13	45.060531	C1162	CD55_P08174_OID20377_v1_Cardiometabolic
1	163994208	209054739	13	45.060531	C1162	CR2_P20023_OID20393_v1_Cardiometabolic
1	163994208	209054739	13	45.060531	C1162	IL10_P22301_OID20431_v1_Inflammation
1	163994208	209054739	13	45.060531	C1162	IL19_Q9UHD0_OID20158_v1_Cardiometabolic
1	163994208	209054739	13	45.060531	C1162	C4BPB_P20851_OID21481_v1_Oncology
1	163994208	209054739	13	45.060531	C1162	PFKFB2_O60825_OID21356_v1_Oncology
1	163994208	209054739	13	45.060531	C1162	PIGR_P01833_OID21102_v1_Neurology
1	163994208	209054739	13	45.060531	C1162	SARG_Q9BW04_OID30331_v1_Cardiometabolic_II
1	163994208	209054739	13	45.060531	C1162	YOD1_Q5VVQ6_OID30181_v1_Cardiometabolic_II
1	163994208	209054739	13	45.060531	C1162	CD34_P28906_OID21025_v1_Neurology
1	163994208	209054739	13	45.060531	C1162	CD46_P15529_OID20380_v1_Cardiometabolic
