REGION_CHR	REGION_START	REGION_STOP	REGION_NUMBER	REGION_LENGTH	CID	GENES
17	150509	9981255	253	9.830746	C100009026	DOC2B_Q14184_OID30927_v1_Neurology_II
17	150509	9981255	253	9.830746	C100009026	RILP_Q96NA2_OID21436_v1_Oncology
17	150509	9981255	253	9.830746	C100009026	SERPINF1_P36955_OID30757_v1_Inflammation_II
17	150509	9981255	253	9.830746	C100009026	SCARF1_Q14162_OID20297_v1_Cardiometabolic
17	150509	9981255	253	9.830746	C100009026	SERPINF2_P08697_OID30779_v1_Inflammation_II
17	150509	9981255	253	9.830746	C100009026	SHPK_Q9UHJ6_OID31292_v1_Oncology_II
17	150509	9981255	253	9.830746	C100009026	CAMKK1_Q8N5S9_OID21182_v1_Oncology
17	150509	9981255	253	9.830746	C100009026	VMO1_Q7Z5L0_OID21381_v1_Oncology
17	150509	9981255	253	9.830746	C100009026	CXCL16_Q9H2A7_OID20282_v1_Cardiometabolic
17	150509	9981255	253	9.830746	C100009026	KIF1C_O43896_OID30163_v1_Cardiometabolic_II
17	150509	9981255	253	9.830746	C100009026	MINK1_Q8N4C8_OID31156_v1_Neurology_II
17	150509	9981255	253	9.830746	C100009026	GP1BA_P07359_OID20381_v1_Cardiometabolic
17	150509	9981255	253	9.830746	C100009026	ENO3_P13929_OID30209_v1_Cardiometabolic_II
17	150509	9981255	253	9.830746	C100009026	RABEP1_Q15276_OID30647_v1_Inflammation_II
17	150509	9981255	253	9.830746	C100009026	SAT2_Q96F10_OID31306_v1_Oncology_II
17	150509	9981255	253	9.830746	C100009026	CLEC10A_Q8IUN9_OID20928_v1_Neurology
17	150509	9981255	253	9.830746	C100009026	ASGR2_P07307_OID30679_v1_Inflammation_II
17	150509	9981255	253	9.830746	C100009026	BAP18_Q8IXM2_OID31150_v1_Neurology_II
17	150509	9981255	253	9.830746	C100009026	TNFSF13_O75888_OID20733_v1_Inflammation
17	150509	9981255	253	9.830746	C100009026	ASGR1_P07306_OID20990_v1_Neurology
17	150509	9981255	253	9.830746	C100009026	SHBG_P04278_OID30685_v1_Inflammation_II
17	150509	9981255	253	9.830746	C100009026	TNFSF12_O43508_OID20624_v1_Inflammation
17	150509	9981255	253	9.830746	C100009026	PLSCR3_Q9NRY6_OID31146_v1_Neurology_II
17	150509	9981255	253	9.830746	C100009026	TP53_P04637_OID21232_v1_Oncology
17	150509	9981255	253	9.830746	C100009026	STX8_Q9UNK0_OID20531_v1_Inflammation
